Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,28.1,4000.0,70.5,2
1,23.6,4000.0,69.5,2
2,21.85,3999.9795,59.0,2
3,57.4,3999.5735,,2
