Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,84.85,4000.0,76.0,2
1,56.15,4000.02,72.0,2
2,19.7,4000.0,74.0,2
3,68.8,2205.3905,,2
