Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,92.4,3500.035,72.0,2
1,100.0,3500.0,70.5,2
2,20.05,3500.0,73.0,2
3,26.3,3499.938,,2
