Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,94.95,3503.661,75.0,2
1,87.0,3500.035,71.5,2
2,36.0,3500.0,74.0,2
3,35.25,3500.058,,2
