Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,79.15,3299.9995,70.0,2
1,84.55000000000001,3299.966,69.0,2
2,43.8,3300.235,70.0,2
3,54.8,3300.0,,2
