Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,80.15,3499.9584999999997,73.0,2
1,67.7,3500.0175,72.0,2
2,80.2,3500.0,76.0,2
3,78.0,3500.035,,2
