Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,57.0,3500.0175,72.5,2
1,70.3,3500.0175,70.5,2
2,56.1,3499.982,74.0,2
3,59.150000000000006,3499.94,,2
