Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,54.85,3500.175,74.0,2
1,67.0,3500.193,71.5,2
2,59.95,3563.886,74.0,2
3,53.55,3541.451,,2
