Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,57.3,3600.054,78.0,2
1,84.0,3599.9815,76.5,2
2,57.4,3599.9815,80.0,2
3,38.4,3600.018,,2
