Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,65.65,3700.058,72.5,2
1,74.5,3700.018,71.0,2
2,62.6,3700.0,73.0,2
3,57.55,3700.0389999999998,,2
