Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,40.9,3600.3244999999997,73.5,2
1,77.0,3599.799,72.5,2
2,85.15,3600.0,76.0,2
3,33.6,3600.0,,2
