Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,54.6,3500.0175,73.5,2
1,78.8,3496.0935,72.5,2
2,59.5,3500.0,74.0,2
3,50.0,3500.0,,2
