Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,41.15,2229.2115,58.0,2
1,15.5,3399.9125,54.5,2
2,7.05,1843.2665,60.0,2
3,10.5,1899.933,,2
