Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,90.9,3600.0,76.0,2
1,83.0,3600.018,74.5,2
2,43.15,3599.9815,76.0,2
3,49.5,2000.4415,,2
