Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,75.45,3400.017,72.0,2
1,59.9,3392.376,70.0,2
2,42.15,3398.4995,71.0,2
3,49.0,3400.136,,2
