Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,79.0,3700.0,78.5,2
1,100.0,3699.962,77.0,2
2,47.3,3700.0,77.0,2
3,18.1,3714.4515,,2
