Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,61.9,4000.02,75.5,2
1,82.15,4000.0,72.0,2
2,60.1,4000.796,75.0,2
3,42.05,4002.0575,,2
