Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,74.5,3500.0265,72.5,2
1,83.9,3500.0,70.5,2
2,52.75,3500.0,74.0,2
3,37.15,3499.9475,,2
