Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,52.55,3700.0,78.0,2
1,58.5,3699.962,77.0,2
2,71.2,3699.9809999999998,80.0,2
3,48.5,3700.0,,2
