Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,91.0,3600.0,75.0,2
1,83.0,2000.0,72.5,2
2,30.65,3600.0,76.0,2
3,33.05,3599.9815,,2
