CPU_usage,Memory_info,DiskUsage,nWattsSupply,Moment
61.1,"svmem(total=16447451136, available=11012665344, percent=33.0, used=4436537344, free=5429731328, active=5494792192, inactive=3526447104, buffers=374755328, cached=6206427136, shared=647163904, slab=932925440)","sdiskusage(total=572514893824, used=514575560704, free=31935844352, percent=94.2)",16.886,2025-01-22 11:19:04.679454
58.5,"svmem(total=16447451136, available=10997428224, percent=33.1, used=4448243712, free=5341765632, active=5511974912, inactive=3599024128, buffers=374771712, cached=6282670080, shared=650887168, slab=933089280)","sdiskusage(total=572514893824, used=514575593472, free=31935811584, percent=94.2)",22.843,2025-01-22 11:19:08.737554
58.0,"svmem(total=16447451136, available=10980917248, percent=33.2, used=4469096448, free=5252734976, active=5499949056, inactive=3671289856, buffers=374779904, cached=6350839808, shared=646647808, slab=933212160)","sdiskusage(total=572514893824, used=514575601664, free=31935803392, percent=94.2)",21.788,2025-01-22 11:19:12.802820
59.5,"svmem(total=16447451136, available=10973945856, percent=33.3, used=4475838464, free=5172424704, active=5486776320, inactive=3744391168, buffers=374792192, cached=6424395776, shared=646877184, slab=933416960)","sdiskusage(total=572514893824, used=514576134144, free=31935270912, percent=94.2)",22.124,2025-01-22 11:19:16.867333
57.2,"svmem(total=16447451136, available=10989379584, percent=33.2, used=4460363776, free=5116399616, active=5490900992, inactive=3815702528, buffers=374800384, cached=6495887360, shared=646909952, slab=933683200)","sdiskusage(total=572514893824, used=514576142336, free=31935262720, percent=94.2)",20.266,2025-01-22 11:19:20.929707
48.7,"svmem(total=16447451136, available=11013013504, percent=33.0, used=4437200896, free=5067567104, active=5465665536, inactive=3888021504, buffers=374812672, cached=6567870464, shared=646385664, slab=933675008)","sdiskusage(total=572514893824, used=514576134144, free=31935270912, percent=94.2)",21.177,2025-01-22 11:19:24.992508
57.3,"svmem(total=16447451136, available=11033337856, percent=32.9, used=4407984128, free=5016121344, active=5494964224, inactive=3959607296, buffers=374824960, cached=6648520704, shared=655278080, slab=933822464)","sdiskusage(total=572514893824, used=514576158720, free=31935246336, percent=94.2)",18.744,2025-01-22 11:19:29.058347
58.2,"svmem(total=16447451136, available=10990338048, percent=33.2, used=4450914304, free=4902981632, active=5498269696, inactive=4029620224, buffers=374824960, cached=6718730240, shared=655360000, slab=933982208)","sdiskusage(total=572514893824, used=514576166912, free=31935238144, percent=94.2)",20.014,2025-01-22 11:19:33.123837
62.5,"svmem(total=16447451136, available=11000721408, percent=33.1, used=4456738816, free=4840624128, active=5495873536, inactive=4102197248, buffers=374857728, cached=6775230464, shared=639201280, slab=934117376)","sdiskusage(total=572514893824, used=514576179200, free=31935225856, percent=94.2)",20.781,2025-01-22 11:19:37.189615
60.8,"svmem(total=16447451136, available=10954629120, percent=33.4, used=4494827520, free=4723298304, active=5542379520, inactive=4173266944, buffers=374874112, cached=6854451200, shared=646942720, slab=934354944)","sdiskusage(total=572514893824, used=514576187392, free=31935217664, percent=94.2)",23.478,2025-01-22 11:19:41.253325
58.9,"svmem(total=16447451136, available=10980077568, percent=33.2, used=4463280128, free=4676661248, active=5515202560, inactive=4245172224, buffers=374874112, cached=6932635648, shared=653275136, slab=934588416)","sdiskusage(total=572514893824, used=514576195584, free=31935209472, percent=94.2)",23.778,2025-01-22 11:19:45.314634
57.5,"svmem(total=16447451136, available=11004825600, percent=33.1, used=4438708224, free=4628692992, active=5484023808, inactive=4317708288, buffers=374890496, cached=7005159424, shared=653127680, slab=934584320)","sdiskusage(total=572514893824, used=514576203776, free=31935201280, percent=94.2)",26.019,2025-01-22 11:19:49.379488
58.6,"svmem(total=16447451136, available=10945191936, percent=33.5, used=4498272256, free=4500971520, active=5485711360, inactive=4385648640, buffers=374902784, cached=7073304576, shared=653201408, slab=934748160)","sdiskusage(total=572514893824, used=514576211968, free=31935193088, percent=94.2)",20.05,2025-01-22 11:19:53.443032
43.3,"svmem(total=16447451136, available=10988728320, percent=33.2, used=4462428160, free=4474245120, active=5487411200, inactive=4455763968, buffers=374910976, cached=7135866880, shared=645447680, slab=934895616)","sdiskusage(total=572514893824, used=514576220160, free=31935184896, percent=94.2)",21.105,2025-01-22 11:19:57.524795
60.4,"svmem(total=16447451136, available=10980048896, percent=33.2, used=4471930880, free=4397596672, active=5491924992, inactive=4523569152, buffers=374910976, cached=7203012608, shared=644644864, slab=935112704)","sdiskusage(total=572514893824, used=514576232448, free=31935172608, percent=94.2)",23.898,2025-01-22 11:20:01.589452
59.6,"svmem(total=16447451136, available=11000586240, percent=33.1, used=4451422208, free=4347854848, active=5496025088, inactive=4593614848, buffers=374923264, cached=7273250816, shared=644644864, slab=935292928)","sdiskusage(total=572514893824, used=514576240640, free=31935164416, percent=94.2)",20.53,2025-01-22 11:20:05.653767
63.5,"svmem(total=16447451136, available=11008647168, percent=33.1, used=4442800128, free=4284530688, active=5489352704, inactive=4664803328, buffers=374931456, cached=7345188864, shared=645218304, slab=935460864)","sdiskusage(total=572514893824, used=514576248832, free=31935156224, percent=94.2)",13.71,2025-01-22 11:20:09.717524
60.6,"svmem(total=16447451136, available=10985570304, percent=33.2, used=4465885184, free=4192595968, active=5501440000, inactive=4733493248, buffers=374947840, cached=7414022144, shared=645177344, slab=935583744)","sdiskusage(total=572514893824, used=514576257024, free=31935148032, percent=94.2)",24.341,2025-01-22 11:20:13.781971
59.0,"svmem(total=16447451136, available=11001929728, percent=33.1, used=4449669120, free=4139347968, active=5496320000, inactive=4802904064, buffers=374947840, cached=7483486208, shared=644988928, slab=935841792)","sdiskusage(total=572514893824, used=514576265216, free=31935139840, percent=94.2)",20.638,2025-01-22 11:20:17.831152
67.3,"svmem(total=16447451136, available=11014131712, percent=33.0, used=4436086784, free=4078628864, active=5521371136, inactive=4871438336, buffers=374956032, cached=7557779456, shared=646422528, slab=936022016)","sdiskusage(total=572514893824, used=514576273408, free=31935131648, percent=94.2)",25.036,2025-01-22 11:20:21.896691
65.0,"svmem(total=16447451136, available=11011801088, percent=33.0, used=4439347200, free=4005339136, active=5532815360, inactive=4942249984, buffers=374968320, cached=7627796480, shared=645513216, slab=936226816)","sdiskusage(total=572514893824, used=514576281600, free=31935123456, percent=94.2)",26.247,2025-01-22 11:20:25.965507
68.2,"svmem(total=16447451136, available=10984304640, percent=33.2, used=4466745344, free=3908231168, active=5536854016, inactive=5011714048, buffers=374976512, cached=7697498112, shared=645578752, slab=936349696)","sdiskusage(total=572514893824, used=514576293888, free=31935111168, percent=94.2)",24.665,2025-01-22 11:20:30.031541
