pid,process_name,used_gpu_memory
8226,python3,1864
8226,python3,1864
8226,python3,1988
8226,python3,1988
8226,python3,1988
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
8226,python3,2050
